,Concerning,Text,URL
0,afghanistan,"KEY UPDATES:

Bird flu continued to be the main challenge for the west region in February 2018. Initially in January, bird flu was found in 4 farms, but the disease has now spread to several hundred poultry farms. As a result 460,000 chicken were disposed from affected farms.

The deteriorated security situation has resulted in the closure of several health facilities: two in Kandahar (Maruf Comprehensive Health Centre (CHC) and Nish CHC) and one in Urozgan province (Oshey CHC).

At the same time, Speen Jomat Basic Health Center (BHC) is the only open facility in Chaparhar district. Mobile health services have been used by partners to cover the vulnerable population.

Active fighting resulted in internal displacement of people in the Southern region, where in February alone 139 IDP families were identified in Kandahar, 489 in Urozgan and 205 in Helmand.",https://reliefweb.int/report/afghanistan/who-afghanistan-monthly-programme-update-february-2018-emergency-humanitarian
1,afghanistan,"Humanitarian crisis in the war-torn Afghanistan

“I lost my son in one of these explosions, and his family are without any support. I am asking the Taliban to accept our demand for peace,” said Khial Bibi, a women participant among peace activists that have set up tents in the Afghan province of Helmand and will march to a Taliban controlled district to demand an end to the war.

Afghanistan has been unstable for decades with terrorists and rival armed groups fighting for control of the country; hurting and disturbing common people’s life.

There are many people like Khial Bibi and her family in the crisis led parts of Afghanistan where bomb blasts are not so uncommon. The most recent among these blasts is a car bomb blast near Lashkar Gah, which killed at least 14 people and wounded another 47.

The car bomb blast highlighted the threat of violence and terror across Afghanistan and with the spring season coming up, it is expected to pick up even more as it has been in the past years.

The Taliban is seeking to restore strict Islamic rule which ended with US-led troops defeating them in 2001.

Taliban is still controlling a lot of Helmand, which produces much of opium’s crop in Afghanistan.",https://www.devdiscourse.com/Article/2515-humanitarian-crisis-in-the-war-torn-afghanistan?reg%3DEast%2520Africa
2,afghanistan,"By Jim Garamone DoD News, Defense Media Activity

A new Army formation deployed to Afghanistan is dedicated to focusing the power of the Afghan military and government on taking the fight to the Taliban to convince the group to reconcile.

The 1st Security Force Assistance Brigade will help the Afghan national security apparatus to increase its effectiveness. Members of the unit will advise down to the brigade and kandak level. A kandak is roughly the size of a battalion. There is a mix of advisers and self-protection forces in the unit.

Army Col. Scott Jackson, the commander of the brigade, spoke to reporters traveling with Marine Corps Gen. Joe Dunford, the chairman of the Joint Chiefs of Staff, last week. Jackson spoke via phone from his headquarters at Advising Platform Lightning near Gardez, Afghanistan.

Purpose-Built Brigade

The brigade is a purpose-built organization designed, selected, trained and equipped specifically for this mission. Every individual is a volunteer.

Jackson deployed numerous times to Iraq and advised Iraqi troops. He said the changes in Afghan forces over the last eight years have been incredible. In 2010, U.S. forces were in the lead, partnering with Afghan forces in the fight against the Taliban and al-Qaida. Afghan soldiers accompanied Americans on combat patrols.

It is an Afghan battle now, Jackson said. They are in the lead, they decide the goals and they assign the resources. Afghans are the ones who gather the information and launch the strikes.

The 1st SFAB is falling in on established advisers at the train, advise and assist commands in Afghanistan. Those commands work at the corps-level and higher. Jackson’s command will advise six brigades and up to 36 maneuver battalions.

Each Afghan brigade has roughly 3,000 to 5,000 soldiers and is led by a brigadier general. “Then I have various types of battalion-level advising teams largely focused on advising the maneuver forces -- the infantry battalions in the Afghan army,” Jackson said.

The brigade also has specialty advising teams that can cover down on everything from military intelligence to signal to engineers to field artillery and logistics.

“We cover all the functions that a regular U.S. Army brigade does,” Jackson said. The brigade, he said, will be advising units all over the country from the German-led Train Advise Assist Command – North in Mazar-e-Sharif to the [train, advise and assist commands] in Helmand and Kandahar in the south.

Training Afghan Forces

While the teams are going to partner with Afghan battalions, a good bit of the brigade force structure will engage with Afghan forces on the institutional training side. Each of the Afghan corps have a regional military training center and Afghan units use these to maintain their proficiency.

“We’re going to apply some of our advising skills to those training academies, too,” Jackson said.

This arrangement allows the Afghans to employ forces and build readiness at the same time.

Army Lt. Col. Jason Sabat, a battalion commander in the brigade based at Train, Advise, Assist Command South, has 14 teams advising units in the Afghan 205th Corps. “We fill the gap from brigade and below,” he said. “So of the four brigades that make up the 205th Corps, we are trying to align -- at a minimum -- a team that can persistently advise that brigade commander and staff.”

But the brigades are separated and that may not always be the case, he said. If so Sabat’s unit has a periodic advisory capacity to go out to those brigade headquarters to advise them.

About half of Sabat’s unit has been deployed to Afghanistan in the past. This familiarity with the region and the culture is allowing his personnel to move quickly into place.

With the introduction of the SFAB, U.S. advisors have the capability to accompany kandaks on operations, but that will only happen after a rigorous examination of the risk/reward ratio, Sabat said. “There is a [concept of operations] process that we will work through before we embed,” he said. “That takes under consideration the risks involved in the mission, the duration we’ve been with the unit, how well we know them, how long we’ve been in theater .”

The examination is a very deliberate process for all the right reasons. “We haven’t been [advising] at these levels for quite some time,” Sabat said. “Approval authority for accompanying a unit runs the gamut from the train, advise [and] assist commander to the commander of the Resolute Support Mission.”

Sabat and his advisors will be co-located with many of the units they advise in Kandahar. “This will allow the advisors to do their jobs, and since they will walk into the compound, advisors can assess what the maintenance picture is like in the unit, how many forces are assigned and how many are present for duty,” he said.

‘You See an Increased Bravado’

The Afghans are pleased to see American forces advising them once again. “In some of the initial engagements you see an increased bravado -- sense of intestinal fortitude in the Afghans seeing a physical commitment standing there in front of them,” Sabat said.

But the reappearance of American advisers does not mean a shift to Americans doing the fighting. “The first tool you reach for should be an Afghan tool,” said Army Capt. Kristopher Farrar, an SFAB team leader who will be advising the 3rd Kandak, 4th Brigade on Tactical Base Gamberi in Train, Advise, Assist Command East. “We make sure that we use their soldiers, their weapons, their procedures and we are just helping refine that. In the past, where we may have tried to have the Afghans mirror the U.S. way of doing things, we’re trying to help them make their processes work smoother.”

Afghan forces have made great strides and have been conducting operations on their own. “We don’t want to re-impose that dependence,” Farrar said. “They’ve been fighting, they’ve been winning. We just want to help with those small adjustments that maybe they don’t see. An outside set of eyes is always good for any formation, and that’s what we are providing to these kandaks .”

Afghan forces are working to perfect intelligence sharing among the various entities that make up the security forces and the operations that result. Advisers help with that and the various corps in the country are working to gather and disperse intelligence, working with army, police, special operations forces and other entities to handle complex operations.

A recent operation in the eastern part of the country points to the progress made. Afghan commanders used intelligence from the National Directorate of Security to develop an operation plan to move into population centers. Special operations forces -- the famed Afghan commandoes -- led the way with shaping operations. Conventional forces interspersed with police followed. The corps used ScanEagle drones for intelligence, reconnaissance and surveillance, and then used MD-530 helicopters and A-29 Super Turcano fixed-wing attack aircraft to hit enemy positions.

Successful Operation

All aspects of the military participated, all pillars of the Afghan government melded for the operation. The operation was a success.

“You can fight battles nose-to-nose -- anybody can do that,” Jackson said. “But if we do our jobs right, the Afghans are not getting into a nose-to-nose street fight.”

Afghan forces need to use their all aspects of the nation’s power against the Taliban to convince the group that it is not worth continuing the fight. “That means effectively using intelligence, air power, ground forces, artillery -- the whole bit,” the colonel said.

The advisers have just hit the ground, and Jackson insists they will be deliberate in their actions.

“We are not going to run out beyond our headlights,” he said. The teams will understand the environment, understand the risks and understand the missions.

(Follow Jim Garamone on Twitter: @GaramoneDoDNews)",https://www.defense.gov/News/Article/Article/1479482/us-brigade-arrives-in-afghanistan-to-advise-strengthen-afghan-forces/
3,afghanistan,"Every week, IRIN’s team of specialist editors curates a reading list of humanitarian trends and developments from around the globe.

Counting wars and arms deals

To the lawyers, there's more than one kind of ""war”. Important why, you ask? Because different categories carry particular obligations and legal implications. The Geneva Academy’s 2017 War Report lays out these distinctions for the 55 situations of armed violence it says amounted to armed conflicts last year. A country-against-country war is an IAC – an international armed conflict. In 2017, there were six IACs. Some (the one between Israel and Syria, for example) flare up and finish quickly. Others, the report says, can run for decades (think India and Pakistan). It also describes 11 ""belligerent occupations"" and 38 non-international armed conflicts (NIACs). In a novel development, the conflict in Mexico between the state and two criminal cartels is described as a NIAC – the same category as the Iraqi government's fight against so-called Islamic State. Nine of the 55 conflicts involved Syria.

All these wars don't arm themselves. The latest trade figures from think tank SIPRI show that arms imports to the Middle East have doubled in the last 10 years. Africa and the Americas are buying less however, on a five-year trend line. SIPRI's data doesn't provide dollar figures, instead using its own methods to show volume and trends. But in 2015, it estimated the value of the trade at $91.3 billion. And it's gone up since then. Total military expenditure, on the other hand, was $1.6 trillion in 2016, according to SIPRI. Global humanitarian funding last year was just 1.3 percent of that, according to the UN's Financial Tracking Service.

Swipe right for blackmail in Nairobi

UN staff have been lured into armed robberies and blackmailed by criminals stalking dating apps in Kenya, according to UN security officials. After meetings in public places and some preliminary rapport-building, victims are lured to ""an unknown apartment"" where they are ""locked in, held at gunpoint and robbed of their money, phone, credit cards and other valuables by an organised criminal group"", a UN warning to senior management stated.

That internal advisory message, obtained by IRIN, said staff or their family members seeking same-sex meet-ups are particularly being targeted. In some cases, threats of ""exposure"" accompany demands for payments (made with mobile money) even after the initial robbery.

The message, sent to members of the UN's in-country security management team, stated: ""online dating opens the doors to certain vulnerabilities."" Nairobi hosts the UN's largest presence in the developing world and is a key hub for humanitarian efforts in the East Africa region. Sodomy in Kenya is punishable by up to 14 years in prison, and human rights groups say harassment and homophobia are rife. These laws are being challenged on constitutional grounds by activists, including the National Gay and Lesbian Human Rights Commission. Contacted by phone, an officer with the Nairobi diplomatic police told IRIN he was not aware of the UN warning.

Turkey’s mixed message to Syrians

This week, we brought you a story from Istanbul on the shifting attitudes and political rhetoric towards the millions of Syrians who have sought safe haven in Turkey over the past seven years. But even as Turkey has welcomed many refugees and advocated an open-door policy for its neighbours fleeing war, it has also – according to this new Human Rights Watch report – shot asylum seekers attempting to cross its borders and intercepted and deported thousands back to Syria. Turkey says it continues to accept refugees and does not use violence, but IRIN reported on the shootings and closures back in March 2016, and HRW has been meticulously documenting these incidents for years. Next week, we’ll bring you up to speed on efforts to integrate Syrian students into Turkish schools, a move complicated by the fact that a good number of Turks are increasingly frustrated with the idea that many refugees may end up sticking around for good.

After Afghanistan’s mild winter, fears of food shortages and migration surges

An unusually mild winter in Afghanistan is stoking fears of water shortages for the upcoming growing season. Snowpack levels recorded in February were the lowest Afghanistan has seen for any month since 2001, according to NASA. Water from snowmelt is crucial for irrigating downstream crops, and this year’s near-record low levels point to a heightened risk of food insecurity, according to the Famine Early Warning Systems Network. This volatility could have far-reaching impacts in a country struggling with multiple insurgencies, mass displacement, and the reintegration of hundreds of thousands of Afghans returning from abroad. A weak harvest would mean fewer jobs in the local agriculture sector, and fewer opportunities will likely push unemployed youth to look for work in neighbouring countries – just one of the many factors driving migration from Afghanistan. Yet Afghans are at the same time returning in droves from Pakistan, Iran, and European countries. This continuing influx means more people competing for fewer opportunities and shrinking wages, pushing more young Afghans to look elsewhere for work… again. Not to mention that conflict is spreading and last year killed or injured more than 10,000 civilians.

Did you miss it?

Crossroads Djibouti: The African migrants who defy Yemen’s war

With the weekend upon us, take some time to immerse yourself in Benedict Moran’s exclusive photo feature from Djibouti or, for a quick glimpse, check out our video:

Beyond “ethnic violence” in Congo’s Ituri

The Democratic Republic of Congo’s long-troubled Ituri Province, where recent attacks have caused hundreds of civilian deaths (including many infants) and led around 100,000 people to flee their homes, made it to the UK’s flagship news programme this week. Kudos to BBC Africa Editor Fergal Keane for seeing beyond the reductive cliché of “ethnic conflict” – even though members of one community are meting out unspeakable brutality against those of another. Keane’s report pointed to hidden hands behind the killings, possibly with a view to keeping President Joseph Kabila in power far longer than many people want. Keane had only five minutes to put Ituri on the map, so it’s understandable he only scratched the surface of what’s really behind the horror. IRIN reporters in Congo and Uganda – now hosting more than 40,000 refugees from Ituri – have delved deeper. Politics does appear to be part of the story, but so does oil, as well as aborted reconciliation efforts after previous clashes. We’ll publish their reporting and analysis next week.

“A policy that knowingly and unrelentingly harms children for political ends”

More strong words against Australia’s offshore detention programme for asylum seekers, this time from a senior UNHCR official who had just visited Nauru, the Pacific Island nation where some 300 refugees and asylum seekers are still detained. In an op-ed published in The Guardian this week, Indrika Ratwatte, the UN refugee agency’s director for Asia and the Pacific, called Australia’s policy an “abomination”. Since 2013, Australia has forced asylum seekers arriving by boat to have their refugee claims processed on Nauru or on Manus Island in Papua New Guinea. The Australian government says it won’t ever allow people known as ‘boat arrivals’ to settle in Australia even if refugee status is granted – which has been the case for the large majority. Last year, authorities shut down the detention centre on Manus Island. Several hundred remaining refugees and asylum seekers await a slow resettlement process to the United States; some asylum seekers face looming deportations, while others whose refugee applications were rejected are stuck in legal limbo, forbidden to be deported but equally forbidden to settle permanently in PNG.

as-am-bp-il/ag/js",http://www.irinnews.org/news/2018/03/30/un-dating-app-sting-afghan-snowmelt-and-how-spend-or-not-16-trillion-cheat-sheet
4,afghanistan,"Aston and Rocky Run fire companies welcome Spc. James Long home from Afghanistan with a U.S. flag hung from their ladder trucks in front of the Aston Fire Department. Long is a volunteer firefighter at Aston. PETE BANNAN — DIGITAL FIRST MEDIA

TINICUM >> U.S. Army SPC James Long Jr. had a simple reaction Friday as he received a hero’s welcome at the Philadelphia airport following his nine-month deployment to Afghanistan: “It’s good to be home ... This is awesome.”

Long was greeted with a hug from his mother as he crossed through security at C terminal in Philadelphia International Airport.

In addition to his family, Warriors’ Watch Riders, A Hero’s Welcome and Stars, Stripes, Bars and Pipes biker support groups were on hand to greet Long with a flag salute and escort to his families home in Aston.

Philadelphia police escorted the motorcyclists and family south through a torrential downpour along the Industrial Highway, avoiding gridlocked I-95. At Aston, township police and firefighters joined the group escorting them past the Aston Fire Co., where Long is a volunteer firefighter.

Advertisement

Long, a graduate of Marple Newtown High School, enlisted in the Army following high school and served in the 82nd airborne, said his father, James Long Sr. During his time in Afghanistan he performed numerous patrol operations, receiving a combat medal. He spent much of his time in the Kandahar area as well as performing his speciality of mortar operations.

“I’m glad he’s home safe, that’s for sure, “ said his mother, Kelley Long. “I am so proud of him but it is very difficult.”

Kelley Long said on base, the family was able to communicate with their son through Face Time but when he was on patrol he was out of touch for weeks at a time.

Long Sr. said the family was not able to talk to him about the two causalities his unit suffered during his time in Afghanistan.

In August the Army reported Spc. Christopher Harris, 25, of Jackson Springs, N.C., and Sgt. Jonathon Hunter, 23, of Columbus, Ind., both of the 82nd Airborne division, died near Kandahar City.

“He’s coming to the end of his four years and is still trying to decide wether to re-enlist,” said Long Sr. “He loved it and didn’t want to leave. It was a life-long dream to serve in the military.”

Long is home for two weeks and then will return to Fort Bragg.

Maria Hyland, representative for A Hero’s Welcome, said the groups have been active for the past ten years welcoming returning soldiers home. She said they have hundreds of members and anyone is welcome to join.

“The first thing I’m going to do is get a Philly cheesesteak,” said Long as he took in the excitement.",http://www.delcotimes.com/article/DC/20180330/NEWS/180339970
5,afghanistan,"This content was published on March 6, 2018 2:01 PM Mar 6, 2018 - 14:01

Attacks and insecurity continue in troubled Afghanistan (Keystone)

Switzerland and Afghanistan have signed an agreement in Kabul to boost development cooperation and humanitarian aid to the troubled country.

“This enhances the legal basis for cooperation between the two countries,” a Swiss government press releaseexternal link stated on Tuesday.

The Swiss Agency for Development and Cooperation (SDC) has had a permanent presence in the Afghan capital since 2002, after the fall of the Taliban. Its programmes include support to vulnerable populations, education and agriculture.

They also focus on helping to build trust in Afghan state institutions, such as the police and judicial system. Swiss aid has, for example, been used to recruit and train 3,500 female police officers.

Security for aid workers in the country is a major issue. The Geneva-based International Committee of the Red Cross (ICRC) temporarily suspended its operations in Afghanistan last year after six of its staff were killed.

+Read more about Afghanistan’s insecurity and the impact on aid

The SDC’s cooperation strategy for Afghanistan is “guided by a long-term commitment, even in periods of instability and insecurity”, according to the government.

It told a conference in late 2016 that Switzerland will continue funding humanitarian projects in Afghanistan to the tune of CHF26 million ($27.7 million) per year until 2020.

SDA-ATS/jc

Neuer Inhalt Horizontal Line

subscription form Form for signing up for free newsletter. Sign up for our free newsletters and get the top stories delivered to your inbox.",https://www.swissinfo.ch/eng/tackling-crisis_accord-with-afghanistan-aims-to-underpin-swiss-aid/43950054
6,afghanistan,"The continuing political crisis following a serious of failed negotiations between Ashraf Ghani and Atta Muhammad Noor does not bode well for stability and national unity of Afghanistan. It could also endanger the hard-gained achievements of the last decade and a half. The protracted political tension between Kabul and Balkh that has undermined Ashraf Ghani’s administration is not a new development. In fact, since the establishment of the National Unity Government (NUG) in 2014, the Afghan political atmosphere has been uneasy between its leaders. The situation has continued to impede governance and led to the rise of insecurity across the country. It is due to the fact that NUG agreement between Ghani and Abdullah did not materialize since early days of the unity government due to disputes on sharing power and delegating of authorities. After becoming president, Ashraf Ghani reneged on those promises by sidelining his political rival and centralizing power at the presidential palace. As a result, the Chief Executive Office, led by Abdullah as shareholder of the National Unity Government, lost his authority.

If NUG agreement which promised an equal sharing of power between Abdullah and Ghani had been implemented, perhaps Afghanistan would have been in a better security and political condition now. It is because the NUG agreement had outlined some key and important issues that could have led the state toward political stability. For instance, it was agreed to hold a constitutional Loya Jirga after two years by turning the CEO into a prime minister position. The agreement had also emphasized on electoral reforms and devolution of power among provinces. This would have equally distributed the political power at the national and provincial levels, which has remained a contentious issue among Afghan political elites since the collapse of Taliban in 2001. Additionally, NUG agreement would have allowed provincial governments to exert more power; since centralization has proved a failure during the last fifteen years, especially in a multi-ethnic society such as Afghanistan.

When the unity government was being negotiated by the United States, the Afghan people were hopeful that the new government would uplift the economy and improve security. But after three and a half years, the country is appallingly insecure, politically fragmented and economically stagnant.

With the deteriorating security situation across the country, NUG and its leadership have lost legitimacy and become unpopular in the eyes of the Afghan people. The spike of violence in Kabul and Jalalabad, which has cost countless innocent lives during the last couple weeks, is a testament to the decline of security in major cities. Afghans do not feel safe in rural or urban areas anymore. One of the reasons is the incompetence and poor leadership of the security sectors in maintaining security that have become heavily politicized in recent years.

Besides worsening security situation, the Afghan political front also remains fractious and unstable. Since the center and periphery political dispute that has emerged, it appears that Ashraf Ghani’s dismissal of Atta Mohammad Noor in December 2017 was a miscalculation despite the assurances he had from his CEO. Abdullah had already lost legitimacy particularly in the last two years and therefore he could not speak on behalf of Jamiat and other party members. This is due to the fact that Abdullah was unable to stand against Ghani in claiming his authorities based on NUG agreement.

Consequently, Abdullah was incapable to represent the wider Tajik political base and more importantly-Jamiat-i-islami which had supported his candidacy during the 2014 election. As Abdullah has become unpopular among supporters and irrelevant within NUG, Atta has gained popularity among his party members and is now seen as a decisive leader who negotiates with Ashraf Ghani. Given Atta’s rise at the center of Afghan politics, the assessment to oust him has proved failure and undermined Ashraf Ghan’s authority as the head of NUG.

Since the appointment of a successor to Balkh governorship, Mohammad Dawood, Atta has not allowed the new governor to occupy his position by directly challenging Ashraf Ghani’s political and constitutional authority. Moreover, Atta has already consolidated his power within Jamiat and some other political parties with expanding his support not only within his Tajik base, but also among Uzbek and Hazara ethnic groups. Since the inception of political showdown between Kabul and Balkh, Atta has also been regularly meeting people from all segments of Afghan society and political spectrum. He has mostly been condemning and slamming NUG and its policies in these events and gatherings.

Initially, there were reports that the central government could use military force to remove Atta as Balkh governor. This would certainly be a dangerous move as a military conflict will undermine the nearly two decades U.S. mission in Afghanistan. Furthermore, it could lead to fragmentation of the state along ethnic lines since Atta has enormous support among different ethnic groups.

Pages",http://nationalinterest.org/feature/afghanistan-braces-its-next-political-crisis-24715
7,afghanistan,"Louis Loftus, a sergeant in the U.S. Army serving in Afghanistan, pictured in his enlistment photo during basic training. Loftus who was featured in an MSNBC News video about serving in Afghanistan and a BJ story about soldiers with PTSD, has died. Death caused by a heart ailment. (Beacon Journal/Ohio.com file photo)

By Brandon Bounds

Beacon Journal/Ohio.com

You look like someone who appreciates good reading.

We hope you enjoyed your 7 articles this month. You can come back next month for another 7 free articles or choose unlimited access with a Digital or Print Subscription, and continueto enjoy the best journalism in Akron, anytime, anywhere and on any device. Subcribing is quick and easy.",https://www.ohio.com/akron/news/local/akron-area-afghanistan-war-veteran-dies-at-30
8,afghanistan,"KABUL, Afghanistan — The Taliban appear to have rejected the bold proposal by President Ashraf Ghani of Afghanistan to invite them for direct peace talks with the government. In an unsigned commentary published last week on their official website, the Taliban said, “The permission of peace and war are with the Americans ….” and claimed that their policy of wanting to “talk to American invaders about peace and stability rather than talking to their slave regime is now widely accepted by the independent Western analysts and other intellectuals.”

Instead of dealing with the Kabul government, the Taliban want to talk to the United States, which they see as the decisive actor on the battlefield. Even with the United States’ diminished direct combat role since 2015, American airstrikes and operations by American special forces pose the gravest danger to the Taliban.

Over years of interviews with Taliban fighters and leadership I have found that the narrative of the United States being the primary enemy unites them. In recent weeks, the Taliban too have called for peace talks but only with the United States.

Mr. Ghani’s proposal and his speech did not mention the potential withdrawal of American and other foreign forces from Afghanistan, which is a core demand of the Taliban. A declaration signed by the participants at the Kabul Process meeting on Feb. 28, at which Mr. Ghani made his offer, hinted at the possibility of discussing such a withdrawal. The Taliban leaders turned out to be skeptical of a proposal that did not address the issue up front.",https://www.nytimes.com/2018/03/19/opinion/america-afghanistan-taliban-talks.html
9,afghanistan,"Afghanistan’s water crisis is one of the acutest in Asia. Less than a third of the country's population has access to clean drinking water. Thousands of children are dying each year because of contamination and poor sanitation.

The Hindu Kush mountain range, which has long been Afghanistan's main source of water, is under threat due to the rapid melting of glaciers.

Time is running out for the war-torn country to come up with a solution to the water crisis, worsened by decades of conflict.

Al Jazeera's Tony Birtley reports from Kabul.",https://www.aljazeera.com/news/2018/03/afghanistan-faces-severe-clean-water-shortage-180325132745182.html
